_addr_key,state,city,country,address_raw,permits_count,first_seen_applied_date,last_seen_applied_date,record_ids_sample,statuses_sample,latest_record_id,latest_status,latest_permit_type,latest_description,latest_valuation_usd,latest_contractor,latest_owner,capacity_mw,source,source_url,covered
||west memphis||news,TBD,West Memphis,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMijwFBVV95cUxPXzkwTlkwU0RuYUpva3lQMGNEWmhNNkxRT0djemlxTnVhZzEzazlyZGJLaWItd0pzYnZfS2dBcHlCZWRCRjRUdllDMU45aTNFTFZwRXpsVm1Vd2F1Y3BockR5cHplbkdEYzVGbXVIWDJ1OGNHdExYakZxbFZONTlOQU5LZFA5TE5kMWZxWGhwdw?oc=5,construction,e81b863d1c42896d,construction,News Discovery,Google breaks ground on $4B data center in West Memphis - Action News 5,TBD,TBD,Google,,news,https://news.google.com/rss/articles/CBMijwFBVV95cUxPXzkwTlkwU0RuYUpva3lQMGNEWmhNNkxRT0djemlxTnVhZzEzazlyZGJLaWItd0pzYnZfS2dBcHlCZWRCRjRUdllDMU45aTNFTFZwRXpsVm1Vd2F1Y3BockR5cHplbkdEYzVGbXVIWDJ1OGNHdExYakZxbFZONTlOQU5LZFA5TE5kMWZxWGhwdw?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMihAFBVV95cUxON0hXMWxjUGNUSjM5VzN2SnlLcVFZTThEdnlCMThqbC1QQW9EVjZuY1plVkl0azc5R25VV2NEelJLRmg2Mnh0MGlhVU5Sa1NwWDlYaVVjYnM5U3F4WXc3cklkNld3WDdHLW5KS3ZOZE1IMzN2RW5pWlZhV2VDLVkyamF3N2w?oc=5,construction,340d6fe6f41f69f3,construction,News Discovery,Tech giants unveil 5 new data center sites - Construction Dive,TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMihAFBVV95cUxON0hXMWxjUGNUSjM5VzN2SnlLcVFZTThEdnlCMThqbC1QQW9EVjZuY1plVkl0azc5R25VV2NEelJLRmg2Mnh0MGlhVU5Sa1NwWDlYaVVjYnM5U3F4WXc3cklkNld3WDdHLW5KS3ZOZE1IMzN2RW5pWlZhV2VDLVkyamF3N2w?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMijwFBVV95cUxPQkZWWjhmcWwybzU3Sl9CNE5EU1J1VHRtUVE4QVo1VHdzWjZYWUhiZzRyaG1xSE9CdHhuSy1fYzg3N3BHN250UTlSZzhrZV9ra1JDdWEzWk9LaTZBbGtoem1nTjJCdTBWbVl5eWV6NkM4MVBsajhXU3FVNzNpXzJoa0RrMWxpUHUzX3ZhaXlnZw?oc=5,unknown,a438196644d19ef7,unknown,News Discovery,Customers in 7 PJM states paid $4.4B for data center transmission in 2024: report - Utility Dive,TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMijwFBVV95cUxPQkZWWjhmcWwybzU3Sl9CNE5EU1J1VHRtUVE4QVo1VHdzWjZYWUhiZzRyaG1xSE9CdHhuSy1fYzg3N3BHN250UTlSZzhrZV9ra1JDdWEzWk9LaTZBbGtoem1nTjJCdTBWbVl5eWV6NkM4MVBsajhXU3FVNzNpXzJoa0RrMWxpUHUzX3ZhaXlnZw?oc=5,FALSE
wa||port washington||news,WA,Port Washington,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMiogFBVV95cUxPRzRKZDlTcjZFbmNuN01JbXhJLVZubXFRdWpwQ0VhUmx4NmxpUE1aZHpiV1Fnczg2U0laY0ZBVHRSUkZ1Zk5xaU9MT0ZCeFVOT3o2YzRkUlhHQWFGTnJlQjYwNDZqYU1kZkk4NUZRNnk1S09iQlBvZVQxRDZWcTl1TU5yVGVKa3hHemt3amdnTWticUxnMVdTRnZwWW15TTNHREHSAaoBQVVfeXFMT3hNM1dVOTAyUFQtVnF1VTlTUm1KUHo1dVBSSXRXbzRkVHB3TGNtb0NwTWR6ZXRtT3pKb0NzWGVfbjdNWi1xNXlJejVad05ZLWFkZEdxMlVKMkxoRmdFMXROUUFaeFB6UXJhNXAyUmlLY29ZYmhWOWZyUnoxZnVBeVBYNWhZQzktSEotS2x4N0JmcjdtODJYVkVKRnlUOGVLaDlTbnVxWnFGd1E?oc=5,proposed,92339e3bd4dfd50d,proposed,News Discovery,$1.4 billion power line project proposed to support Port Washington data center - BizTimes,TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMiogFBVV95cUxPRzRKZDlTcjZFbmNuN01JbXhJLVZubXFRdWpwQ0VhUmx4NmxpUE1aZHpiV1Fnczg2U0laY0ZBVHRSUkZ1Zk5xaU9MT0ZCeFVOT3o2YzRkUlhHQWFGTnJlQjYwNDZqYU1kZkk4NUZRNnk1S09iQlBvZVQxRDZWcTl1TU5yVGVKa3hHemt3amdnTWticUxnMVdTRnZwWW15TTNHREHSAaoBQVVfeXFMT3hNM1dVOTAyUFQtVnF1VTlTUm1KUHo1dVBSSXRXbzRkVHB3TGNtb0NwTWR6ZXRtT3pKb0NzWGVfbjdNWi1xNXlJejVad05ZLWFkZEdxMlVKMkxoRmdFMXROUUFaeFB6UXJhNXAyUmlLY29ZYmhWOWZyUnoxZnVBeVBYNWhZQzktSEotS2x4N0JmcjdtODJYVkVKRnlUOGVLaDlTbnVxWnFGd1E?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMingFBVV95cUxQNnhXMVVSZGZQZ19LODRDLWUwcENVa0dEQ2ZVSkl6bHZZWk9HQ29Uclo4OGJXQzdrbHk3dUdXQVJFRE9YZTlrWGExUUhXUUMzN1VzYmE3ZjRFWHlKVlRocElXd2YyTmNzeDBfMnlYRHhEMGthNkhaUzNXU2VuVjUtYVYxakl6dU5HNmNBc3V4dDVrQkNVVEdBdThzcTI1dw?oc=5,construction,26a9af3e894d03c5,construction,News Discovery,Trump executive order pushes for quicker data center construction - Construction Dive,TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMingFBVV95cUxQNnhXMVVSZGZQZ19LODRDLWUwcENVa0dEQ2ZVSkl6bHZZWk9HQ29Uclo4OGJXQzdrbHk3dUdXQVJFRE9YZTlrWGExUUhXUUMzN1VzYmE3ZjRFWHlKVlRocElXd2YyTmNzeDBfMnlYRHhEMGthNkhaUzNXU2VuVjUtYVYxakl6dU5HNmNBc3V4dDVrQkNVVEdBdThzcTI1dw?oc=5,FALSE
wa||port washington||news,WA,Port Washington,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOU0FIc3VoVlRodGdTTFdRNXhUWE1aSW5yWEduR3d0MU5rN3ZEVzMxZXJ0U3dXS0ZIcXdXRnFISlBRZERKQ09sNzk4bjdyRXdDRjhHQURlZ3N5TlpHVUVXeVhkSHdjenROQjJHdDFEME45VFBxbU1aTy1GNkpzeXFjd1VjTU1QT2lKb3paSkpfZmo0SEoyb2dhckdWelpfMG5UNDJtN0JETHRnZFFmM1pfc2dNZFA5RlJZQTc4V1NvWS1FTVZ1YXZaQ0dSVTNXbzVVb1dBaHpJZlgwWjQ5RkdiZQ?oc=5,construction,6944a408eaedebe5,construction,News Discovery,Neighbors concerned with water consumption as Port Washington data center construction to start next month - TMJ4 News,TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOU0FIc3VoVlRodGdTTFdRNXhUWE1aSW5yWEduR3d0MU5rN3ZEVzMxZXJ0U3dXS0ZIcXdXRnFISlBRZERKQ09sNzk4bjdyRXdDRjhHQURlZ3N5TlpHVUVXeVhkSHdjenROQjJHdDFEME45VFBxbU1aTy1GNkpzeXFjd1VjTU1QT2lKb3paSkpfZmo0SEoyb2dhckdWelpfMG5UNDJtN0JETHRnZFFmM1pfc2dNZFA5RlJZQTc4V1NvWS1FTVZ1YXZaQ0dSVTNXbzVVb1dBaHpJZlgwWjQ5RkdiZQ?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOV1ZyN3JNalM0bzI1VFlIRE80TXhOMUticVJPamF1VVdac0Y4SmQydnl5VmhwNW0yLXBNYzFrcUEtZnl3ZnFxNjFFdW53ajlVU2JFUDVROWJfa0JVSEhfTVlOX29kREtSbGg2ZThXaFVjeTdMLWRIeUlodm1RVDQ0TkVRcE51QXZac1F1a0VTRjZ6VWJBTEptLV9lbDFWU0RRY1RKNDVRTmRURTRVSEtITWp5VThnLW53djhRWklPc1JXNW5sd1hTWXlLOWl6bGI2OEJFTDZxdnUtcFVjaGZKZGNMUQ?oc=5,construction,15065f182aacdd4d,construction,News Discovery,Ozaukee Interurban Trail users brace for temporary closures as data center utility construction set to begin - TMJ4 News,TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOV1ZyN3JNalM0bzI1VFlIRE80TXhOMUticVJPamF1VVdac0Y4SmQydnl5VmhwNW0yLXBNYzFrcUEtZnl3ZnFxNjFFdW53ajlVU2JFUDVROWJfa0JVSEhfTVlOX29kREtSbGg2ZThXaFVjeTdMLWRIeUlodm1RVDQ0TkVRcE51QXZac1F1a0VTRjZ6VWJBTEptLV9lbDFWU0RRY1RKNDVRTmRURTRVSEtITWp5VThnLW53djhRWklPc1JXNW5sd1hTWXlLOWl6bGI2OEJFTDZxdnUtcFVjaGZKZGNMUQ?oc=5,FALSE
ga||fayetteville||news,GA,Fayetteville,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPWXJLcTRCT1pyQmEybGxrcGJ6S1JfT2JlQ0hRYzhsV2xNcE5oazg4Q2xIa0RDcjFNaDVPdDJMZWNaZk9qcktBbGF5N2p3bjlXTGtwNjFlcGQ0V2pheVNtMFdlbzdKS2pMVGxzWnZKbGU0akJ4NUppcG5fcXowN2FGUjl6Z0dVeml4NlpZV0tWdkw1aWhtNDhyaGZCdWJzSHZxSXdxekhZb0JoRl9kVm95eS1rcjRzNnRueWwwcnh3amxBNURHbmpydjRFX3RLUmxsYTRoNUNB?oc=5,operational,87c810d3a02f986a,operational,News Discovery,"Lawsuit launched after death of construction worker at data center site in Fayetteville, Georgia - Data Center Dynamics",TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPWXJLcTRCT1pyQmEybGxrcGJ6S1JfT2JlQ0hRYzhsV2xNcE5oazg4Q2xIa0RDcjFNaDVPdDJMZWNaZk9qcktBbGF5N2p3bjlXTGtwNjFlcGQ0V2pheVNtMFdlbzdKS2pMVGxzWnZKbGU0akJ4NUppcG5fcXowN2FGUjl6Z0dVeml4NlpZV0tWdkw1aWhtNDhyaGZCdWJzSHZxSXdxekhZb0JoRl9kVm95eS1rcjRzNnRueWwwcnh3amxBNURHbmpydjRFX3RLUmxsYTRoNUNB?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMingFBVV95cUxQLTViRkVoQ1cwS212RUMteVpNdXQ4SldFR202cldVemxmeDE5cVNhUFRJRHBIS1RnZzFXV1VXdUJGdlVpYVlSUTBVQkVJUFlRWUFfQ0lrX25vY2tKRXBXNnNEcnNoZVZTRFRNM2QzMmZuTnJRQUplOEI0ajZpa3BsZE9UNzBtSm5odU5UZGY4amM0MlRTZDBaMlp3Q3NxUQ?oc=5,construction,df0b379dc0a3f5a5,construction,News Discovery,"Contractors say data center demand still growing, despite bubble fears - Construction Dive",TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMingFBVV95cUxQLTViRkVoQ1cwS212RUMteVpNdXQ4SldFR202cldVemxmeDE5cVNhUFRJRHBIS1RnZzFXV1VXdUJGdlVpYVlSUTBVQkVJUFlRWUFfQ0lrX25vY2tKRXBXNnNEcnNoZVZTRFRNM2QzMmZuTnJRQUplOEI0ajZpa3BsZE9UNzBtSm5odU5UZGY4amM0MlRTZDBaMlp3Q3NxUQ?oc=5,FALSE
ok||owasso||news,OK,Owasso,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMipwFBVV95cUxObk15MUJydzljbmZFQWRkN0hYTE9aS3lxd1pvclpFcHB0ZUs2VHROamFuR21hQ0pCcTZBcW51aTZlcVdROE9qWTMxcnVtZDA4STlENFRzOEhzejhjVTRGVmFWYWM1Y19xNjBMMzY0Q3F2SWs0dmVzcEhVeVkwZWhrdkQ2M2dLcWpRUnBYRnV5WnhrRHpzMk5TQnEwNl9QTVJ4a25ZWWZhRQ?oc=5,construction,3dafa9fe62440ec7,construction,News Discovery,Labor leader reacts to Owasso data center approved for construction - 2 News Oklahoma KJRH Tulsa,TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMipwFBVV95cUxObk15MUJydzljbmZFQWRkN0hYTE9aS3lxd1pvclpFcHB0ZUs2VHROamFuR21hQ0pCcTZBcW51aTZlcVdROE9qWTMxcnVtZDA4STlENFRzOEhzejhjVTRGVmFWYWM1Y19xNjBMMzY0Q3F2SWs0dmVzcEhVeVkwZWhrdkQ2M2dLcWpRUnBYRnV5WnhrRHpzMk5TQnEwNl9QTVJ4a25ZWWZhRQ?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMipAFBVV95cUxNeTJGU2Q5ZUMtX0xWYWl0S21OWTJsQTRGVzJGSk5MeUd0TFdHRldIU08yTWNJXzNCZklkSm1RYmJNb2hnSEt5UjEtanJlWG5LZGxsOEZMUUtYR3FIUDlaTVJURjBjdWJ1TS02cVJWdWlxU1pZRWFUckUxUG4xeHFmenh6ekl2TTNPNzVfZDdSRmROa2xGOHhJYjlxZ1JNQjVZS1B0OA?oc=5,construction,3d197758e8280dfa,construction,News Discovery,Meta pilots use of mass timber in data center construction - Data Center Dynamics,TBD,TBD,Meta,,news,https://news.google.com/rss/articles/CBMipAFBVV95cUxNeTJGU2Q5ZUMtX0xWYWl0S21OWTJsQTRGVzJGSk5MeUd0TFdHRldIU08yTWNJXzNCZklkSm1RYmJNb2hnSEt5UjEtanJlWG5LZGxsOEZMUUtYR3FIUDlaTVJURjBjdWJ1TS02cVJWdWlxU1pZRWFUckUxUG4xeHFmenh6ekl2TTNPNzVfZDdSRmROa2xGOHhJYjlxZ1JNQjVZS1B0OA?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQX3ZseVVPZ1g1eUd6WEV3clNjZjRnRjFHUVlBSWRCRTRnb1JPWmVPX3JiQmZJZDI3Znh2cWF5eEt2d3paRjUtV0ZQVnhtU3YyRkt3bEJoZ1czdjB3aUJCc1VKdWEybVNVbUtSTlJNbVBBUnJPc3pBM092bzRWSHJIS1ZLRGQtZDhQSVMwOGZzZlpGNzZIQVNfcTEwZGZlaE5odHlRMnF6bGQ4b054ZEhoTUtWMWNYcnhWX1Y4bXBCRFdpSm8?oc=5,construction,eff13b133e308c33,construction,News Discovery,St. Charles becomes 1st city in nation to ban data center construction citywide for a year - KSDK,TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQX3ZseVVPZ1g1eUd6WEV3clNjZjRnRjFHUVlBSWRCRTRnb1JPWmVPX3JiQmZJZDI3Znh2cWF5eEt2d3paRjUtV0ZQVnhtU3YyRkt3bEJoZ1czdjB3aUJCc1VKdWEybVNVbUtSTlJNbVBBUnJPc3pBM092bzRWSHJIS1ZLRGQtZDhQSVMwOGZzZlpGNzZIQVNfcTEwZGZlaE5odHlRMnF6bGQ4b054ZEhoTUtWMWNYcnhWX1Y4bXBCRFdpSm8?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNQ3NPUWZ3OG9JbnE3eVdyNHpuSU1YeGVKRWZLVS1RalNhbERQc1JZSnRVQlhuTkl4UzRvUHJybDdaS19US3MxLXZhTlFwbjQ4SE9xaGFKMUVwX3ByQmRaWmN2VFJNNU1WaERqb05WX1Q5VUU1SmhKbnB3M0x4cDY4LUhzWXNPVmRoSXZuZERINGt4dVpqWDl0c1hpdmNOeVN0N1pQbnNvcHI1cm5pQlZiVEZuRFlGWWwyTEtlMVY0bFZCcms?oc=5,construction,8a75dfb00376e9c1,construction,News Discovery,DigitalBridge has 5.4GW of data center capacity in operation or under construction - Data Center Dynamics 5400.0 MW,TBD,TBD,TBD,5400,news,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNQ3NPUWZ3OG9JbnE3eVdyNHpuSU1YeGVKRWZLVS1RalNhbERQc1JZSnRVQlhuTkl4UzRvUHJybDdaS19US3MxLXZhTlFwbjQ4SE9xaGFKMUVwX3ByQmRaWmN2VFJNNU1WaERqb05WX1Q5VUU1SmhKbnB3M0x4cDY4LUhzWXNPVmRoSXZuZERINGt4dVpqWDl0c1hpdmNOeVN0N1pQbnNvcHI1cm5pQlZiVEZuRFlGWWwyTEtlMVY0bFZCcms?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMizwFBVV95cUxOdmxRNlc1dElxRGFTZU80UzhKdEFEd2dIU0Z4X2llWENpRWFDaUVHeWhmRnZFUzFhUzBOMzVjRWJQc3Etc3hlWnpfX0dRazRsMEMtRVFuT19DdVA4UDJvZEwwb0VBNXZheDNGRGtmaHJZSzR4ZUFLMVQ0TFpVUEFUYzRxclVBbmsxLUU1WTlpN0tHMWI2SFB6MFBuYkhrcFVaVDRfNllqdm84bWN2Mk1TQ3BhQnNzWTdJWWtJczFxckNjQno3YlZpWnZhNHJxcjA?oc=5,construction,ce396bea06270623,construction,News Discovery,"Humain breaks ground two data centers, with first facilities expected to go live in Q2 2026 - Data Center Dynamics",TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMizwFBVV95cUxOdmxRNlc1dElxRGFTZU80UzhKdEFEd2dIU0Z4X2llWENpRWFDaUVHeWhmRnZFUzFhUzBOMzVjRWJQc3Etc3hlWnpfX0dRazRsMEMtRVFuT19DdVA4UDJvZEwwb0VBNXZheDNGRGtmaHJZSzR4ZUFLMVQ0TFpVUEFUYzRxclVBbmsxLUU1WTlpN0tHMWI2SFB6MFBuYkhrcFVaVDRfNllqdm84bWN2Mk1TQ3BhQnNzWTdJWWtJczFxckNjQno3YlZpWnZhNHJxcjA?oc=5,FALSE
mi||ann arbor||news,MI,Ann Arbor,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOb1NISUt0eVdXTVA4UjEzWVFjV3I4aVJPdmhscVlzaHRYaVNYcmZtVEV3MHZkTVZpZWw1bkhFNXFkUmVhX281T2RFY0ZTSjlwNXhOdDBUN284Z3FtOTJFcUJBTW45VGR6ejVieUtPdDZWS0JteE9qVFQ1NmpkRkR6aDgwTFdCenhwRi11T2pqeTJ0OGhpd3VRMG1fTmZIc3JUN1JuR2dtU0N5VXNndmtpajM3N29ZVkNmOExQN1ZTQmFIMEFScERrVUhHUEgxYnVld3fSAeYBQVVfeXFMT3ZLTlN6WTNtcFFUYUx0UFZlMXJlRFlfVDhxS2V5azBwdlYyZXNzX0hJemRESzRvZE9FNEVySzg4aFJBVTNKVS1oVkpQZHhFUklUajk0M1Zha3JpLXNxMkdrWnFxZlFGaEJEekFFcXNzRWk4MUEtX2hkTGVpU0Rlc29tbGpGTTJWaFpHM3ZDdDFiWC1vUzY4NGtZWTBOQVRQbVl0S3dTVWtYeDZkRGdXR295bjVsZ3IyaWV4a1IxZGJ2WVJWY3hHaWhFWUpod3pheDY2YjBPVTRjRGkzbjlXSkVob2pxN2c?oc=5,proposed,cf81630af2ac9cc9,proposed,News Discovery,Michigan township north of Ann Arbor grappling with proposed $1B data center to power AI - MLive.com,TBD,TBD,TBD,,news,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOb1NISUt0eVdXTVA4UjEzWVFjV3I4aVJPdmhscVlzaHRYaVNYcmZtVEV3MHZkTVZpZWw1bkhFNXFkUmVhX281T2RFY0ZTSjlwNXhOdDBUN284Z3FtOTJFcUJBTW45VGR6ejVieUtPdDZWS0JteE9qVFQ1NmpkRkR6aDgwTFdCenhwRi11T2pqeTJ0OGhpd3VRMG1fTmZIc3JUN1JuR2dtU0N5VXNndmtpajM3N29ZVkNmOExQN1ZTQmFIMEFScERrVUhHUEgxYnVld3fSAeYBQVVfeXFMT3ZLTlN6WTNtcFFUYUx0UFZlMXJlRFlfVDhxS2V5azBwdlYyZXNzX0hJemRESzRvZE9FNEVySzg4aFJBVTNKVS1oVkpQZHhFUklUajk0M1Zha3JpLXNxMkdrWnFxZlFGaEJEekFFcXNzRWk4MUEtX2hkTGVpU0Rlc29tbGpGTTJWaFpHM3ZDdDFiWC1vUzY4NGtZWTBOQVRQbVl0S3dTVWtYeDZkRGdXR295bjVsZ3IyaWV4a1IxZGJ2WVJWY3hHaWhFWUpod3pheDY2YjBPVTRjRGkzbjlXSkVob2pxN2c?oc=5,FALSE
va||louisa county||news,VA,Louisa County,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNUTF5VDdPMUUtUV9SeHBKZERLV2Znbl8xcGt5ZzFxY0M4OG01NnNnTHR3TjZxX0xYUXZTNi1ncUZGSlRzUEY1d2tzaWFiZG1mSVJaQTJ5NGhRQ25IMFVITjJsYUtVQXZnam9QNE5RYWQ1WUUzQTl6R1BYVG53bmg2T3cyRlZlVTYzTFhCTTNZZ2hrbTQyRU85Z3JGRkVmSTg4TmZmeWlDRzVPRHRrQlV4bWxOcFR2UFFo?oc=5,unknown,d8f97ebc9a81b098,unknown,News Discovery,"AWS seeks permit for another data center campus in Louisa County, Virginia - Data Center Dynamics",TBD,TBD,AWS,,news,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNUTF5VDdPMUUtUV9SeHBKZERLV2Znbl8xcGt5ZzFxY0M4OG01NnNnTHR3TjZxX0xYUXZTNi1ncUZGSlRzUEY1d2tzaWFiZG1mSVJaQTJ5NGhRQ25IMFVITjJsYUtVQXZnam9QNE5RYWQ1WUUzQTl6R1BYVG53bmg2T3cyRlZlVTYzTFhCTTNZZ2hrbTQyRU85Z3JGRkVmSTg4TmZmeWlDRzVPRHRrQlV4bWxOcFR2UFFo?oc=5,FALSE
||||news,TBD,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOX1pZbEx2NDRJM1B5cm1JdENJOGRocTF5TW9mVG9fUDRidjQwTG85VmpzZEJuYktWd0VJT09uZGNUNUh3Z1BOYUI5RWtOY3lMVmNTZjFCYlRLSjRNYjVaaWxHYUdyWjdySGFnOVU5OEZyVGluU2NRRHhQWldxdjNZcXdmckxiR0FkNTJhWV9qR3dBclVBM0FfUVppU1BfbW5KRXdMU1BMQ2Z3ZG93TW5XVGk1RzVaUkY4OXFWaDJHbDY?oc=5,unknown,cd769bb5c89b9a33,unknown,News Discovery,Amazon Web Services develops cooling technology for next generation Nvidia GPUs - Data Center Dynamics,TBD,TBD,AWS,,news,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOX1pZbEx2NDRJM1B5cm1JdENJOGRocTF5TW9mVG9fUDRidjQwTG85VmpzZEJuYktWd0VJT09uZGNUNUh3Z1BOYUI5RWtOY3lMVmNTZjFCYlRLSjRNYjVaaWxHYUdyWjdySGFnOVU5OEZyVGluU2NRRHhQWldxdjNZcXdmckxiR0FkNTJhWV9qR3dBclVBM0FfUVppU1BfbW5KRXdMU1BMQ2Z3ZG93TW5XVGk1RzVaUkY4OXFWaDJHbDY?oc=5,FALSE
pa||||news,PA,TBD,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMi8AFBVV95cUxPdkxLcXVPVGZCbUJGWC1KeVFhLWtaRDhucjM3ZU93WEphVGpmVlYxM3lCUThzNkdfMEVOY0NqdXJsQWw5WEhVLXd1RGFSOTI0R0Q3NXl0ZmNNeE5rVU9ieGJwaER6ZGcxTEY4cGE4UHR5elVBVXlTTS0tdjNMczFWQlE5Sjl5SHREcXhjcTVRVjNIM3R0YXI5SDU4Um9OUU5pM1Y1R0doMVRWdXdnNllrcU9KMG1LQ3JCbTQwbUtPQXd4TzQ5RURrbkpDZVhVRzIyWUo0SHpyaFFCSm1oZVpRUS1tXzVISnM0NmdFU2ZjTF8?oc=5,proposed,72575bd226a42e6d,proposed,News Discovery,FERC upholds rejection of proposed interconnection agreement between AWS data center and Pennsylvania nuclear plant - Data Center Dynamics,TBD,TBD,AWS,,news,https://news.google.com/rss/articles/CBMi8AFBVV95cUxPdkxLcXVPVGZCbUJGWC1KeVFhLWtaRDhucjM3ZU93WEphVGpmVlYxM3lCUThzNkdfMEVOY0NqdXJsQWw5WEhVLXd1RGFSOTI0R0Q3NXl0ZmNNeE5rVU9ieGJwaER6ZGcxTEY4cGE4UHR5elVBVXlTTS0tdjNMczFWQlE5Sjl5SHREcXhjcTVRVjNIM3R0YXI5SDU4Um9OUU5pM1Y1R0doMVRWdXdnNllrcU9KMG1LQ3JCbTQwbUtPQXd4TzQ5RURrbkpDZVhVRzIyWUo0SHpyaFFCSm1oZVpRUS1tXzVISnM0NmdFU2ZjTF8?oc=5,FALSE
in||new carlisle||news,IN,New Carlisle,United States,TBD,0,11/18/2025,11/18/2025,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPc1JSdW1Lc2pObG5tMGZwRnlaN0JDSnhUdHV1VUQyLUhMaUg4djY0UnFTcW9fV3l1VDZpS0NQR3I0WjYwLU1Rem9fRmNKeXhRUTZYQmlLeFVMYW9kQWczQ3hqWnp5aU9fYVdWWUxIREdCWHdLQ3RZbm9qOThacmhaSnhMVW05MmlSY1BINl82d3otMnoxRFFzMTdVc3hhQk9MMUJqQlFGVHo5MXAtSUk4aDVPYjkxTERIOGx0Y3RJMGR2ZUhTR2FGd2hhMFY2eFBKRkJnOXdR?oc=5,construction,fba073c125e887bb,construction,News Discovery,"Two people hospitalized after fire at AWS data center construction site in New Carlisle, Indiana - Data Center Dynamics",TBD,TBD,AWS,,news,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPc1JSdW1Lc2pObG5tMGZwRnlaN0JDSnhUdHV1VUQyLUhMaUg4djY0UnFTcW9fV3l1VDZpS0NQR3I0WjYwLU1Rem9fRmNKeXhRUTZYQmlLeFVMYW9kQWczQ3hqWnp5aU9fYVdWWUxIREdCWHdLQ3RZbm9qOThacmhaSnhMVW05MmlSY1BINl82d3otMnoxRFFzMTdVc3hhQk9MMUJqQlFGVHo5MXAtSUk4aDVPYjkxTERIOGx0Y3RJMGR2ZUhTR2FGd2hhMFY2eFBKRkJnOXdR?oc=5,FALSE
